TIPO_COD,COD,ETIQUETA
CVE_MUN_SSA,12039,JUAN R. ESCUDERO
CVE_MUN_SSA,12040,LEONARDO BRAVO
CVE_MUN_SSA,12041,MALINALTEPEC
CVE_MUN_SSA,12042,MÁRTIR DE CUILAPAN
CVE_MUN_SSA,12043,METLATÓNOC
CVE_MUN_SSA,12044,MOCHITLÁN
CVE_MUN_SSA,12045,OLINALÁ
CVE_MUN_SSA,12046,OMETEPEC
CVE_MUN_SSA,12047,PEDRO ASCENCIO ALQUISIRAS
CVE_MUN_SSA,12048,PETATLÁN
CVE_MUN_SSA,12049,PILCAYA
CVE_MUN_SSA,12050,PUNGARABATO
CVE_MUN_SSA,12051,QUECHULTENANGO
CVE_MUN_SSA,12052,SAN LUIS ACATLÁN
CVE_MUN_SSA,12053,SAN MARCOS
CVE_MUN_SSA,12054,SAN MIGUEL TOTOLAPAN
CVE_MUN_SSA,12055,TAXCO DE ALARCÓN
CVE_MUN_SSA,12056,TECOANAPA
CVE_MUN_SSA,12057,TÉCPAN DE GALEANA
CVE_MUN_SSA,12058,TELOLOAPAN
CVE_MUN_SSA,12059,TEPECOACUILCO DE TRUJANO
CVE_MUN_SSA,12060,TETIPAC
CVE_MUN_SSA,12061,TIXTLA DE GUERRERO
CVE_MUN_SSA,12062,TLACOACHISTLAHUACA
CVE_MUN_SSA,12063,TLACOAPA
CVE_MUN_SSA,12064,TLALCHAPA
CVE_MUN_SSA,12065,TLALIXTAQUILLA DE MALDONADO
CVE_MUN_SSA,12066,TLAPA DE COMONFORT
CVE_MUN_SSA,12067,TLAPEHUALA
CVE_MUN_SSA,12068,LA UNIÓN DE ISIDORO MONTES DE OCA
CVE_MUN_SSA,12069,XALPATLÁHUAC
CVE_MUN_SSA,12070,XOCHIHUEHUETLÁN
CVE_MUN_SSA,12071,XOCHISTLAHUACA
CVE_MUN_SSA,12072,ZAPOTITLÁN TABLAS
CVE_MUN_SSA,12073,ZIRÁNDARO
CVE_MUN_SSA,12074,ZITLALA
CVE_MUN_SSA,12075,EDUARDO NERI
CVE_MUN_SSA,12076,ACATEPEC
CVE_MUN_SSA,12077,MARQUELIA
CVE_MUN_SSA,12078,COCHOAPA EL GRANDE
CVE_MUN_SSA,12079,JOSÉ JOAQUÍN DE HERRERA
CVE_MUN_SSA,12080,JUCHITÁN
CVE_MUN_SSA,12081,ILIATENCO
CVE_MUN_SSA,12999,NO ESPECIFICADO
CVE_MUN_SSA,13001,ACATLÁN
CVE_MUN_SSA,13002,ACAXOCHITLÁN
CVE_MUN_SSA,13003,ACTOPAN
CVE_MUN_SSA,13004,AGUA BLANCA DE ITURBIDE
CVE_MUN_SSA,13005,AJACUBA
CVE_MUN_SSA,13006,ALFAJAYUCAN
CVE_MUN_SSA,13007,ALMOLOYA
CVE_MUN_SSA,13008,APAN
CVE_MUN_SSA,13009,EL ARENAL
CVE_MUN_SSA,13010,ATITALAQUIA
CVE_MUN_SSA,13011,ATLAPEXCO
CVE_MUN_SSA,13012,ATOTONILCO EL GRANDE
CVE_MUN_SSA,13013,ATOTONILCO DE TULA
CVE_MUN_SSA,13014,CALNALI
CVE_MUN_SSA,13015,CARDONAL
CVE_MUN_SSA,13016,CUAUTEPEC DE HINOJOSA
CVE_MUN_SSA,13017,CHAPANTONGO
CVE_MUN_SSA,13018,CHAPULHUACÁN
CVE_MUN_SSA,13019,CHILCUAUTLA
CVE_MUN_SSA,13020,ELOXOCHITLÁN
CVE_MUN_SSA,13021,EMILIANO ZAPATA
CVE_MUN_SSA,13022,EPAZOYUCAN
CVE_MUN_SSA,13023,FRANCISCO I. MADERO
